1 {'loss': 37.8715831350003, 'depth_loss': 10.945829924728189, 'abs_depth_acc': 10.23191498592496, 'RMSE': 21.013219952849404, '1.0m_acc': 0.21383675731859902, '2.5m_acc': 0.4671963804472138, '7.5m_acc': 0.794495558574064}
2 {'loss': 37.39858129141586, 'depth_loss': 10.802920801298958, 'abs_depth_acc': 9.537120242470078, 'RMSE': 19.622747257351875, '1.0m_acc': 0.207103153036899, '2.5m_acc': 0.45576763737751336, '7.5m_acc': 0.7909396580071189}
1 {'loss': 41.52157875150442, 'depth_loss': 11.940512589445072, 'MAE': 10.490072917459267, 'RMSE': 22.044801182246633, 'thres1.0m_error': 0.20830609345180814, 'thres2.5m_error': 0.45771942278432626, 'thres7.5m_error': 0.7888323826981443}
2 {'loss': 42.552451867610216, 'depth_loss': 12.340531141896333, 'MAE': 10.366781328405652, 'RMSE': 23.28689787217549, 'thres1.0m_error': 0.2097043567950355, 'thres2.5m_error': 0.4600179901941114, 'thres7.5m_error': 0.7909732254837374}
3 {'loss': 44.58716459093349, 'depth_loss': 12.969561547839216, 'MAE': 11.042142180992025, 'RMSE': 24.179813215242966, 'thres1.0m_error': 0.20248647288514934, 'thres2.5m_error': 0.44666342348292737, 'thres7.5m_error': 0.783864825548205}
4 {'loss': 38.77563919446298, 'depth_loss': 11.493158297613263, 'MAE': 10.741518714066062, 'RMSE': 22.29052857575672, 'thres1.0m_error': 0.19274753568294858, 'thres2.5m_error': 0.4280016791058837, 'thres7.5m_error': 0.7675038641734447}
5 {'loss': 31.0455839724413, 'depth_loss': 9.14634014107287, 'MAE': 9.022297350423676, 'RMSE': 18.083280679104583, 'thres1.0m_error': 0.1972483480754558, 'thres2.5m_error': 0.4392954406066565, 'thres7.5m_error': 0.7966093800413157}
6 {'loss': 32.40645587710397, 'depth_loss': 9.516116799786687, 'MAE': 9.052991056548697, 'RMSE': 18.152837975748948, 'thres1.0m_error': 0.1938910653563133, 'thres2.5m_error': 0.43319568653428825, 'thres7.5m_error': 0.7934646514144593}
7 {'loss': 30.437721019876854, 'depth_loss': 9.006701939739287, 'MAE': 8.765825087204576, 'RMSE': 17.83887088085924, 'thres1.0m_error': 0.20359635903150775, 'thres2.5m_error': 0.45129413878021296, 'thres7.5m_error': 0.8069283987237473}
8 {'loss': 31.39950883973922, 'depth_loss': 9.211996769266468, 'MAE': 8.634004186572772, 'RMSE': 17.598705071423733, 'thres1.0m_error': 0.20116986524018493, 'thres2.5m_error': 0.4472771823015397, 'thres7.5m_error': 0.8082741912803613}
9 {'loss': 31.40030600236995, 'depth_loss': 9.21150864075337, 'MAE': 8.757103411214691, 'RMSE': 17.784445061481424, 'thres1.0m_error': 0.20090904733660864, 'thres2.5m_error': 0.4471915400562076, 'thres7.5m_error': 0.8076630458069433}
1 {'loss': 42.53205728211573, 'depth_loss': 12.363234767690301, 'MAE': 10.813707883070622, 'RMSE': 23.619199401832052, 'thres1.0m_error': 0.19848283430578054, 'thres2.5m_error': 0.44446186618837863, 'thres7.5m_error': 0.7977224248045657}
2 {'loss': 55.990001197372166, 'depth_loss': 16.631343074142933, 'MAE': 13.973748091608286, 'RMSE': 29.953242938433373, 'thres1.0m_error': 0.15276020705122, 'thres2.5m_error': 0.3520096157673314, 'thres7.5m_error': 0.7030107480532024}
3 {'loss': 57.75745977354901, 'depth_loss': 17.08915355908019, 'MAE': 14.29244816143598, 'RMSE': 30.513305508664676, 'thres1.0m_error': 0.15227936012213053, 'thres2.5m_error': 0.35131712385607117, 'thres7.5m_error': 0.701862014231405}
1 {'loss': 22.121873221759284, 'depth_loss': 6.4703344605597, 'MAE': 6.724543156634484, 'RMSE': 13.754706334588784, 'thres1.0m_error': 0.22732877515954897, 'thres2.5m_error': 0.49580774351904566, 'thres7.5m_error': 0.8328583291024968}
1 {'loss': 26.06106348335743, 'depth_loss': 7.630441926951919, 'MAE': 7.803131262638739, 'RMSE': 16.37734501383134, 'thres1.0m_error': 0.21300510085088067, 'thres2.5m_error': 0.46955013198956813, 'thres7.5m_error': 0.8134364136328388}
2 {'loss': 21.23527136764356, 'depth_loss': 6.2798881147589, 'MAE': 6.50715157788779, 'RMSE': 11.896315767828908, 'thres1.0m_error': 0.20066552955125058, 'thres2.5m_error': 0.4484938345038764, 'thres7.5m_error': 0.8111785475921351}
3 {'loss': 24.896140367857047, 'depth_loss': 7.507180743451629, 'MAE': 7.712746397459081, 'RMSE': 15.89290166859116, 'thres1.0m_error': 0.20342721689667087, 'thres2.5m_error': 0.4498586938799625, 'thres7.5m_error': 0.7971819171715262}
