1 {'loss': 8.131808884151917, 'depth_loss': 2.048378608631674, 'MAE': 2.4167133793814695, 'RMSE': 3.9448040803495554, 'thres1.0m_error': 0.4431233580151361, 'thres2.5m_error': 0.751573723274564, 'thres7.5m_error': 0.961421328717391}
2 {'loss': 7.5952015297066975, 'depth_loss': 1.914989495118015, 'MAE': 2.2896011058881216, 'RMSE': 3.747208545865044, 'thres1.0m_error': 0.4551413871696941, 'thres2.5m_error': 0.7612220994824095, 'thres7.5m_error': 0.9625188632900011}
3 {'loss': 7.911376863200611, 'depth_loss': 2.0236017330871374, 'MAE': 2.42735390508753, 'RMSE': 3.882057561509934, 'thres1.0m_error': 0.45460781813499734, 'thres2.5m_error': 0.760905601406506, 'thres7.5m_error': 0.9637048053439031}
4 {'loss': 7.353581564413576, 'depth_loss': 1.867878679457455, 'MAE': 2.26934988516292, 'RMSE': 3.649535457475579, 'thres1.0m_error': 0.4532865360336472, 'thres2.5m_error': 0.7588662007302076, 'thres7.5m_error': 0.9629701950954025}
5 {'loss': 7.456160876879885, 'depth_loss': 1.8927738188484, 'MAE': 2.283842113269729, 'RMSE': 3.664629912024319, 'thres1.0m_error': 0.4622355279364205, 'thres2.5m_error': 0.7657052782482952, 'thres7.5m_error': 0.9643814609835983}
6 {'loss': 6.94486860048031, 'depth_loss': 1.7490083345085103, 'MAE': 2.14744945854466, 'RMSE': 3.4214689984956297, 'thres1.0m_error': 0.46424595140273095, 'thres2.5m_error': 0.7678780067995312, 'thres7.5m_error': 0.9660144437247944}
7 {'loss': 7.108830954875805, 'depth_loss': 1.7860706931720163, 'MAE': 2.1884581486495094, 'RMSE': 3.5580252585499568, 'thres1.0m_error': 0.4670040409720585, 'thres2.5m_error': 0.7694247111959137, 'thres7.5m_error': 0.9648652149517125}
8 {'loss': 6.9500243329782965, 'depth_loss': 1.7480051571607733, 'MAE': 2.1504629003599574, 'RMSE': 3.4260760405134523, 'thres1.0m_error': 0.4661452822220692, 'thres2.5m_error': 0.77003965966628, 'thres7.5m_error': 0.9663673268151222}
9 {'loss': 6.878271440050365, 'depth_loss': 1.7251046077621315, 'MAE': 2.1272148720591493, 'RMSE': 3.3950368898449197, 'thres1.0m_error': 0.47115553780643793, 'thres2.5m_error': 0.7719698518282685, 'thres7.5m_error': 0.9660228996237841}
10 {'loss': 6.985034307446743, 'depth_loss': 1.7538334914867666, 'MAE': 2.1519877094514497, 'RMSE': 3.427550727582173, 'thres1.0m_error': 0.4684738570042185, 'thres2.5m_error': 0.7709371358962074, 'thres7.5m_error': 0.9665549300199163}
11 {'loss': 6.998360948728197, 'depth_loss': 1.7600024130215453, 'MAE': 2.16156645372846, 'RMSE': 3.4412145278953883, 'thres1.0m_error': 0.46582383290509355, 'thres2.5m_error': 0.7691654797663495, 'thres7.5m_error': 0.9662089528334912}
12 {'loss': 6.968953177401273, 'depth_loss': 1.747128647129304, 'MAE': 2.150399399550702, 'RMSE': 3.4272708929696023, 'thres1.0m_error': 0.46788970708090244, 'thres2.5m_error': 0.7707618028706085, 'thres7.5m_error': 0.9665746975357816}
13 {'loss': 7.012294965027288, 'depth_loss': 1.7615353108832186, 'MAE': 2.164531900339844, 'RMSE': 3.442754830721252, 'thres1.0m_error': 0.4688535682526957, 'thres2.5m_error': 0.7708797893044395, 'thres7.5m_error': 0.9666860487123993}
14 {'loss': 7.0649288220692, 'depth_loss': 1.7695917387109534, 'MAE': 2.172977112993417, 'RMSE': 3.4797152602917607, 'thres1.0m_error': 0.4679860305007621, 'thres2.5m_error': 0.7701165738646213, 'thres7.5m_error': 0.9659227850631168}
15 {'loss': 7.01028868700544, 'depth_loss': 1.7575158716271058, 'MAE': 2.1610602164573, 'RMSE': 3.4421886357926152, 'thres1.0m_error': 0.4684448036486203, 'thres2.5m_error': 0.7713992680497118, 'thres7.5m_error': 0.9668871858083804}
