1 {'loss': 19.119986299545534, 'depth_loss': 5.493816735283021, 'MAE': 5.95097811760441, 'RMSE': 9.390720050181113, 'thres1.0m_error': 0.23975005721853626, 'thres2.5m_error': 0.4522856201135343, 'thres7.5m_error': 0.7420981000027349}
2 {'loss': 19.673718587044746, 'depth_loss': 5.656671377920335, 'MAE': 6.115380446757039, 'RMSE': 9.650591384979986, 'thres1.0m_error': 0.2323797802711206, 'thres2.5m_error': 0.44461480720389274, 'thres7.5m_error': 0.7386754056619059}
3 {'loss': 21.072795429537372, 'depth_loss': 6.077266631587859, 'MAE': 6.540753189594515, 'RMSE': 10.462987697893574, 'thres1.0m_error': 0.20836053692525433, 'thres2.5m_error': 0.41662419743595586, 'thres7.5m_error': 0.7222014168097127}
4 {'loss': 21.264040920042223, 'depth_loss': 6.182250120947438, 'MAE': 6.647410869598389, 'RMSE': 10.178868612935466, 'thres1.0m_error': 0.19754409591757482, 'thres2.5m_error': 0.39310041160112424, 'thres7.5m_error': 0.7022743302006875}
5 {'loss': 21.803710552953905, 'depth_loss': 6.291738308245136, 'MAE': 6.757146533458464, 'RMSE': 10.38497216855326, 'thres1.0m_error': 0.19629167852502677, 'thres2.5m_error': 0.3925367141923597, 'thres7.5m_error': 0.7031080823752188}
6 {'loss': 21.004695038641653, 'depth_loss': 6.075078175913903, 'MAE': 6.539682878601935, 'RMSE': 10.070062760383852, 'thres1.0m_error': 0.20058949003296514, 'thres2.5m_error': 0.39920165900501514, 'thres7.5m_error': 0.7127414658184974}
7 {'loss': 21.05512427130053, 'depth_loss': 6.085334962414157, 'MAE': 6.550553110338027, 'RMSE': 10.018862176326014, 'thres1.0m_error': 0.19775375862035058, 'thres2.5m_error': 0.39704120447558744, 'thres7.5m_error': 0.7134824253378376}
8 {'loss': 21.877638563033074, 'depth_loss': 6.346379041671753, 'MAE': 6.81293559651221, 'RMSE': 10.335448341984902, 'thres1.0m_error': 0.18995500581278915, 'thres2.5m_error': 0.3815575234231449, 'thres7.5m_error': 0.6973289854584201}
9 {'loss': 21.706410015783003, 'depth_loss': 6.2672560291905555, 'MAE': 6.733925671346726, 'RMSE': 10.206097191379916, 'thres1.0m_error': 0.18947633352851675, 'thres2.5m_error': 0.3817864777820726, 'thres7.5m_error': 0.7028881602229611}
10 {'loss': 22.230577007416755, 'depth_loss': 6.429220234194109, 'MAE': 6.898238856946269, 'RMSE': 10.403557854314004, 'thres1.0m_error': 0.1770910692791785, 'thres2.5m_error': 0.364137172218292, 'thres7.5m_error': 0.693801982027869}
11 {'loss': 22.34007208578048, 'depth_loss': 6.4583991362202555, 'MAE': 6.9285744851635345, 'RMSE': 10.354576956841253, 'thres1.0m_error': 0.17106562765735772, 'thres2.5m_error': 0.35659159203210183, 'thres7.5m_error': 0.6901814447295281}
12 {'loss': 22.19230048887191, 'depth_loss': 6.432313613353237, 'MAE': 6.90196257252847, 'RMSE': 10.397764478960346, 'thres1.0m_error': 0.1739798160570283, 'thres2.5m_error': 0.3611614914430726, 'thres7.5m_error': 0.6936714903962228}
13 {'loss': 22.80015859296245, 'depth_loss': 6.616991667978225, 'MAE': 7.088109900874477, 'RMSE': 10.552384714926443, 'thres1.0m_error': 0.16573200278705166, 'thres2.5m_error': 0.3464869805761883, 'thres7.5m_error': 0.6794560719882289}
14 {'loss': 22.61839028327696, 'depth_loss': 6.5592461593689455, 'MAE': 7.029902900418928, 'RMSE': 10.507832757888302, 'thres1.0m_error': 0.16844892195395886, 'thres2.5m_error': 0.3518940993254223, 'thres7.5m_error': 0.6845355449664977}
15 {'loss': 22.300864073538012, 'depth_loss': 6.462763330628795, 'MAE': 6.932646320712182, 'RMSE': 10.365599136198721, 'thres1.0m_error': 0.17265289189714578, 'thres2.5m_error': 0.35888573058670564, 'thres7.5m_error': 0.6894119475637713}
16 {'loss': 22.615047139506185, 'depth_loss': 6.558897806752112, 'MAE': 7.029828396535689, 'RMSE': 10.44862674897717, 'thres1.0m_error': 0.16696050862270978, 'thres2.5m_error': 0.34927750961674797, 'thres7.5m_error': 0.6832254238186344}
17 {'loss': 21.88480709445092, 'depth_loss': 6.353507351490759, 'MAE': 6.82388452945217, 'RMSE': 10.124412698130454, 'thres1.0m_error': 0.16996170297986077, 'thres2.5m_error': 0.3554315707616268, 'thres7.5m_error': 0.6921580421828455}
18 {'loss': 22.43335227043398, 'depth_loss': 6.4992188061437295, 'MAE': 6.9693360693993105, 'RMSE': 10.395452418634969, 'thres1.0m_error': 0.1712459067723924, 'thres2.5m_error': 0.35596465121113485, 'thres7.5m_error': 0.6875342395036451}
19 {'loss': 22.4072565801682, 'depth_loss': 6.49625713017679, 'MAE': 6.966637978630681, 'RMSE': 10.427425453739781, 'thres1.0m_error': 0.16988200817497506, 'thres2.5m_error': 0.35464865972678505, 'thres7.5m_error': 0.6895537578290508}
20 {'loss': 22.211876653855846, 'depth_loss': 6.435599409764813, 'MAE': 6.905595267972639, 'RMSE': 10.318466251896274, 'thres1.0m_error': 0.17190451935053833, 'thres2.5m_error': 0.35710881271910283, 'thres7.5m_error': 0.6893558151298954}
21 {'loss': 22.649034530885757, 'depth_loss': 6.567610459942972, 'MAE': 7.038155157719889, 'RMSE': 10.513367472156402, 'thres1.0m_error': 0.16880645476762327, 'thres2.5m_error': 0.35158013035693475, 'thres7.5m_error': 0.6846087834527416}
22 {'loss': 22.430326415646462, 'depth_loss': 6.506154556428233, 'MAE': 6.97622319383006, 'RMSE': 10.431672561553217, 'thres1.0m_error': 0.17156441302429284, 'thres2.5m_error': 0.3564519639457426, 'thres7.5m_error': 0.686731525967198}
23 {'loss': 22.397513966406546, 'depth_loss': 6.496450931795182, 'MAE': 6.966684585617434, 'RMSE': 10.39887475198315, 'thres1.0m_error': 0.17056384922996645, 'thres2.5m_error': 0.3545537619220634, 'thres7.5m_error': 0.686793748169176}
24 {'loss': 22.453440043234057, 'depth_loss': 6.52039502128478, 'MAE': 6.991176587920035, 'RMSE': 10.38998120830905, 'thres1.0m_error': 0.16764130647624692, 'thres2.5m_error': 0.3504650381303603, 'thres7.5m_error': 0.6839938375257677}
25 {'loss': 22.51417186183314, 'depth_loss': 6.524667134208064, 'MAE': 6.9952054927426, 'RMSE': 10.447091298718606, 'thres1.0m_error': 0.16910500193555508, 'thres2.5m_error': 0.35307424863980663, 'thres7.5m_error': 0.6863932292307576}
26 {'loss': 22.155137738873883, 'depth_loss': 6.424071927224436, 'MAE': 6.894462975763505, 'RMSE': 10.301458716392517, 'thres1.0m_error': 0.1700294676627363, 'thres2.5m_error': 0.3554546738103513, 'thres7.5m_error': 0.6902413884958913}
27 {'loss': 21.98640291921554, 'depth_loss': 6.38285909545037, 'MAE': 6.852523334564701, 'RMSE': 10.251970310365, 'thres1.0m_error': 0.17393355576261396, 'thres2.5m_error': 0.36076946796909454, 'thres7.5m_error': 0.6932802556022521}
28 {'loss': 22.90484619140625, 'depth_loss': 6.645672905829645, 'MAE': 7.117187428858973, 'RMSE': 10.62449998240317, 'thres1.0m_error': 0.16379218506476573, 'thres2.5m_error': 0.3446072566533281, 'thres7.5m_error': 0.6797519429556785}
29 {'loss': 22.395685495868808, 'depth_loss': 6.498969103059461, 'MAE': 6.969330530012807, 'RMSE': 10.419202004709552, 'thres1.0m_error': 0.17009413792120834, 'thres2.5m_error': 0.35449450859619724, 'thres7.5m_error': 0.6860659324353741}
30 {'loss': 22.36789620307184, 'depth_loss': 6.485975661585408, 'MAE': 6.9566913362472285, 'RMSE': 10.396181518031705, 'thres1.0m_error': 0.1681209731726877, 'thres2.5m_error': 0.3518690868851639, 'thres7.5m_error': 0.6864156400965106}
